,content,y_pred,y_actual
0,Xe Đạp Địa Hình TrinX TX18 2018 -  Đen Xanh Lá,"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
1,Hà Mã Nhồi Bông U & YABY 029/15 (17cm) - Xanh Dương,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
2,Tự Học Từ Vựng Tiếng Trung Theo Chủ Đề (Kèm App MCBooks),"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
3,Sữa rửa mặt - CCBOOUM Phytochemical Absolute Pure Foaming - 300ml,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
4,Bộ 5 cái đèn LED búp nhôm tiết kiệm điện 5W (vàng ấm),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
5,"Xe Máy SYM Angela 50 - Trắng Xanh + Tặng Nón Bảo Hiểm, Áo Mưa, Móc Khóa Xe","Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
6,"Cài Tóc Turban Gọng Nhựa Sọc Xanh Đen, Đỏ, Be - Mã CT083",Thời trang - Phụ kiện,Thời trang - Phụ kiện
7,Giấy in ảnh chất liệu canvas thương hiệu ILFORD - GPCN17 2002648,Thời trang - Phụ kiện,Laptop - Thiết bị IT
8,Áo 2 Dây Lai Ren - Xanh Navy,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
9,Tủ Lạnh Inverter Toshiba GR-TG41VPDZ-XG (359L),Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
10,"Tape nhãn in tương thích CPT-441 dùng cho máy in nhãn Brother P-Touch (chữ đen nền đỏ, 18mm)",Laptop - Thiết bị IT,Laptop - Thiết bị IT
11,Đàn guitar điện Stagg S300BK,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
12,Dịch Học Tinh Hoa,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
13,Bộ combo 3 camera AFIRI (1 Megapixel),Máy Ảnh - Quay Phim,Máy Ảnh - Quay Phim
14,Lò Nướng Canzy CZ-11EB,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
15,Bếp Gas Đơn NaMilux NH-260ASM - Bạc Inox,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
16,Ốp Lưng Cho HTC One E8 - Mẫu 78,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
17,Set Đế Lót Ly Gốm Tròn Mika A-001-002-S-T (4 Cái),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
18,Tranh Ghép Con Ong Vietoys VT3P-0126-24,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
19,Quần Jean Thêu Bông Hồng JD67,Làm Đẹp - Sức Khỏe,Thời trang - Phụ kiện
20,"FoxFitness Gym & Yoga - 02 Tháng Tập Gym, Yoga Không Giới Hạn Thời Gian",Thể Thao - Dã Ngoại,Voucher - Dịch Vụ - Thẻ Cào
21,Mâm Bồng Đồng Thau Đựng Hoa Quả Dũng Thư (Đường Kính 33cm),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
22,Đồng Hồ Nữ Dây Thép Không Gỉ Tissot T051.310.11.051.00 (23.81 x 23 mm) - Bạc,Thời trang - Phụ kiện,Thời trang - Phụ kiện
23,Vinpearl Hà Tĩnh Ocean Villas 5* - Nghỉ Dưỡng Villa 02 Phòng Ngủ Hướng Biển + Ăn Sáng,Voucher - Dịch Vụ - Thẻ Cào,Voucher - Dịch Vụ - Thẻ Cào
24,Quả bóng chày da mềm,"Sách, VPP & Quà Tặng",Thể Thao - Dã Ngoại
25,Ốp Lưng Dành Cho HTC One E9 Mẫu 19,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
26,Twin Master – Dao Thái Thịt Zwilling J.A.Henckels – 18cm Màu Đỏ,Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
27,Xà đơn xếp chữ A điều chỉnh Xuki,Thể Thao - Dã Ngoại,Thể Thao - Dã Ngoại
28,Tinh Dầu Bạc Hà Ấn Độ Milaganics  Menthol Min 60% (30ml),Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
29,Chuột Có Dây Full Led Bosston X14 - Hàng Chính Hãng,Phụ Kiện - Thiết Bị Số,Laptop - Thiết bị IT
30,Microphone Condenser Samson C01,Làm Đẹp - Sức Khỏe,Tivi - Thiết bị nghe nhìn
31,Dây Chuyền Mặt Dây Tua Rua Đính Đá Adorne ANC1706 - Hồng,Thời trang - Phụ kiện,Thời trang - Phụ kiện
32,Truyện Ehon Nhật Bản - 10-1 Chú Ếch Đi Tới Núi Mõ,"Sách, VPP & Quà Tặng","Sách, VPP & Quà Tặng"
33,Túi Tote Nữ Vintage London Travel SuviTote154 - Đen (37 x 41 cm),Thời trang - Phụ kiện,Thời trang - Phụ kiện
34,Combo 10 Mặt nạ sủi bọt thải độc làm sạch da và se khít lỗ chân lông Mediheal Mogongtox Soda Bubble Sheet 18ml x10,Làm Đẹp - Sức Khỏe,Làm Đẹp - Sức Khỏe
35,Nước Giặt Đậm Đặc Maxkleen Trắng Sáng (1.8Kg),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
36,Ốp lưng cho Samsung Galaxy J7 Plus viền TPU cao cấp cung Xử Nữ - Virgo,Phụ Kiện - Thiết Bị Số,Phụ Kiện - Thiết Bị Số
37,Dao Bào 3 Trong 1 Fiore Moriitalia (MS13Q-300),Nhà Cửa Đời Sống,Nhà Cửa Đời Sống
38,Vỏ bọc yên XE WAVE ALPHA,"Xe Máy, Ô tô, Xe Đạp","Xe Máy, Ô tô, Xe Đạp"
39,Hạt Dinh Dưỡng Fami (220g / Hũ),Hàng Tiêu Dùng - Thực Phẩm,Hàng Tiêu Dùng - Thực Phẩm
40,Nồi Cơm Điện SATO S12 - 82G (1.2L) - Trắng Đỏ,Điện Gia Dụng - Điện Lạnh,Điện Gia Dụng - Điện Lạnh
41,Cân Sức Khỏe Điện Tử YUNMAI 17 Chế Độ Có Kết Nối Bluetooth Và Điều Khiển Qua Ứng Dụng Điện Thoại - Đen,Phụ Kiện - Thiết Bị Số,Làm Đẹp - Sức Khỏe
42,Giày Sneaker Nữ Chữ S Hapu,Thời trang - Phụ kiện,Thể Thao - Dã Ngoại
43,Áo Ba Lỗ Nhúng Tayaki T05_G - Xám,"Đồ chơi, Mẹ & Bé","Đồ chơi, Mẹ & Bé"
